family,run,last_batch,eval_final_reward_last,eval_final_reward_best,best_step,eval_action_ppl_last,n_evals
_crashed_1785048116,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-omc=3000-lp=0_15-swb=0-gs=4-bs=4-s=42-r=0-vr=0,1,,,,,0
_crashed_1785048116,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-omc=3000-lp=0_15-swb=1-gs=4-bs=4-s=42-r=0-vr=0,1,,,,,0
_crashed_uncapped_1785046088,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-swb=0-gs=4-bs=4-s=42-r=0-vr=0,1,,,,,0
_crashed_uncapped_1785046088,act-prm-ia=0-rr=0-ec=act_prm_tau2_airline-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_15-swb=1-gs=4-bs=4-s=42-r=0-vr=0,1,,,,,0
act_prm_snorkel_finance_split,snorkel_finance_split_s1_base-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm-tc=pg-rbc=default-nb=58-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0_15-swb=-bcacce88,57,0.5719,0.5776,15,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s1_policy-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm-tc=pg-rbc=default-nb=58-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=1-nf=0-lp=0_15-sw-25a30cb3,57,0.588,0.588,57,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s1relabel_base-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm-tc=pg-rbc=default-nb=31-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=0_-5507cf78,30,0.6041,0.6125,10,,3
act_prm_snorkel_finance_split,snorkel_finance_split_s1relabel_base_last-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm-tc=pg-rbc=default-nb=31-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0--6ad96164,30,0.604,0.6137,20,,3
act_prm_snorkel_finance_split,snorkel_finance_split_s1relabel_policy-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm-tc=pg-rbc=default-nb=31-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-lp=-ea76292c,30,0.6059,0.6115,20,,3
act_prm_snorkel_finance_split,snorkel_finance_split_s1relabel_policy_last-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm-tc=pg-rbc=default-nb=31-nt=1-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=-af14920d,30,0.6058,0.6058,30,,3
act_prm_snorkel_finance_split,snorkel_finance_split_s2_actions_only_heldout-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linea-515c91d1,59,0.4746,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_actions_only_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a-2d09b853,59,0.5627,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_expert_thoughts_heldout-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_li-f637d77d,59,0.437,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_expert_thoughts_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r-d632d668,59,0.5442,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_base_heldout-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_line-aeb61467,59,0.3796,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_base_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_-f8a68e46,59,0.4435,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_base_last_heldout-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16-1bb0cba7,59,0.3849,,,,24
act_prm_snorkel_finance_split,snorkel_finance_split_s2_thoughts_base_last_heldout_fullctx-act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance_split-gc=act_prm_actions_only-tc=sft-rbc=default-nb=60-nt=0-mc=hf_qwen3_4b_instruct-l-5a56e266,59,0.4463,,,,24
